message_id,category,confidence,reason
MSG_0033,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0034,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0035,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0036,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0037,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0038,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0039,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0040,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0041,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0042,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0043,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0044,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0045,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0046,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0047,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0048,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0049,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0050,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0051,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0052,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0053,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0054,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0055,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0056,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0057,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0058,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0059,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0060,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0061,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0062,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0063,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0064,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0065,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0066,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0067,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0068,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0069,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0070,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0071,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0072,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0073,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0074,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0075,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0076,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0077,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0078,Sensitive Information,0.75,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0079,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0080,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0081,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0082,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0083,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0084,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0085,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0086,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0087,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0088,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0089,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0090,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0091,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0092,Promotional,0.75,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0093,Personal Information,0.75,The message contains a personal detail about the sender or another person.
MSG_0094,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0095,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0096,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0097,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0098,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0099,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0100,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0101,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0102,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0103,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0104,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0105,Promotional,0.75,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0106,Sensitive Information,0.75,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0107,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0108,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0109,Personal Information,0.85,The message contains a personal detail about the sender or another person.
MSG_0110,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0111,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0112,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0113,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0114,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0115,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0116,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0117,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0118,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0119,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0120,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0121,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0122,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0123,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0124,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0125,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0126,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0127,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0128,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0129,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0130,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0131,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0132,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0133,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0134,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0135,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0136,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0137,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0138,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0139,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0140,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0141,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0142,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0143,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0144,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0145,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0146,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0147,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0148,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0149,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0150,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0151,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0152,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0153,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0154,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0155,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0156,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0157,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0158,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0159,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0160,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0161,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0162,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0163,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0164,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0165,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0166,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0167,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0168,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0169,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0170,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0171,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0172,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0173,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0174,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0175,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0176,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0177,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0178,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0179,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0180,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0181,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0182,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0183,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0184,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0185,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0186,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0187,Sensitive Information,0.75,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0188,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0189,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0190,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0191,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0192,Promotional,0.75,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0193,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0194,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0195,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0196,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0197,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0198,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0199,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0200,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0201,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0202,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0203,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0204,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0205,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0206,Promotional,0.75,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0207,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0208,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0209,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0210,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0211,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0212,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0213,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0214,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0215,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0216,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0217,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0218,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0219,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0220,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0221,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0222,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0223,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0224,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0225,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0226,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0227,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0228,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0229,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0230,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0231,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0232,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0233,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0234,Promotional,0.75,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0235,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0236,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0237,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0238,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0239,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0240,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0241,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0242,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0243,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0244,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0245,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0246,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0247,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0248,Personal Information,0.85,The message contains a personal detail about the sender or another person.
MSG_0249,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0250,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0251,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0252,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0253,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0254,Sensitive Information,0.75,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0255,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0256,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0257,Sensitive Information,0.75,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0258,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0259,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0260,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0261,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0262,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0263,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0264,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0265,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0266,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0267,Sensitive Information,0.75,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0268,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0269,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0270,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0271,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0272,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0273,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0274,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0275,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0276,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0277,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0278,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0279,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0280,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0281,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0282,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0283,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0284,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0285,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0286,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0287,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0288,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0289,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0290,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0291,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0292,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0293,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0294,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0295,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0296,Personal Information,0.85,The message contains a personal detail about the sender or another person.
MSG_0297,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0298,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0299,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0300,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0301,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0302,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0303,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0304,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0305,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0306,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0307,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0308,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0309,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0310,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0311,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0312,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0313,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0314,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0315,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0316,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0317,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0318,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0319,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0320,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0321,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0322,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0323,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0324,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0325,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0326,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0327,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0328,Promotional,0.65,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0329,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0330,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0331,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0332,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
